,term,df,sumsq,meansq,statistic,p.value,feature,neg_log_p,dataset
69,Metadata_clone_type_indicator,1,2.066855504,2.066855504,1.871474921,0.172930507,Cells_AreaShape_Zernike_5_1,0.762128385,bortezomib
70,Metadata_treatment_time,1,2.016344382,2.016344382,1.825738633,0.178246926,Cells_AreaShape_Zernike_5_1,0.748977951,bortezomib
71,Metadata_batch,4,3.253171722,0.813292931,0.736412061,0.568197534,Cells_AreaShape_Zernike_5_1,0.245500656,bortezomib
72,Metadata_clone_number,8,13.62786793,1.703483491,1.542452593,0.145004217,Cells_AreaShape_Zernike_5_1,0.838619368,bortezomib
73,Metadata_clone_type_indicator,1,21.32685673,21.32685673,35.40879512,1.27E-08,Cells_AreaShape_Zernike_5_3,7.894923075,bortezomib
74,Metadata_treatment_time,1,0.145852228,0.145852228,0.242157188,0.623223493,Cells_AreaShape_Zernike_5_3,0.205356184,bortezomib
75,Metadata_batch,4,2.345589935,0.586397484,0.973590653,0.423174318,Cells_AreaShape_Zernike_5_3,0.373480697,bortezomib
76,Metadata_clone_number,8,64.95590104,8.119487631,13.48071484,2.25E-15,Cells_AreaShape_Zernike_5_3,14.64820758,bortezomib
77,Metadata_clone_type_indicator,1,0.755094269,0.755094269,1.061115683,0.30427729,Cells_AreaShape_Zernike_5_5,0.51673046,bortezomib
78,Metadata_treatment_time,1,0.486767368,0.486767368,0.68404239,0.40924119,Cells_AreaShape_Zernike_5_5,0.388020661,bortezomib
79,Metadata_batch,4,7.130286068,1.782571517,2.505004568,0.043666755,Cells_AreaShape_Zernike_5_5,1.359849084,bortezomib
80,Metadata_clone_number,8,49.32789052,6.165986316,8.66491119,4.74E-10,Cells_AreaShape_Zernike_5_5,9.324029403,bortezomib
81,Metadata_clone_type_indicator,1,6.98430343,6.98430343,12.33819292,0.000555117,Cells_AreaShape_Zernike_6_0,3.255615836,bortezomib
82,Metadata_treatment_time,1,0.140984667,0.140984667,0.249057911,0.618319593,Cells_AreaShape_Zernike_6_0,0.208786991,bortezomib
83,Metadata_batch,4,4.431581684,1.107895421,1.957164029,0.102748713,Cells_AreaShape_Zernike_6_0,0.988223607,bortezomib
84,Metadata_clone_number,8,77.49883134,9.687353917,17.1132945,5.04E-19,Cells_AreaShape_Zernike_6_0,18.29729516,bortezomib
85,Metadata_clone_type_indicator,1,0.641433415,0.641433415,0.647926988,0.421866244,Cells_AreaShape_Zernike_6_2,0.374825224,bortezomib
86,Metadata_treatment_time,1,0.251378091,0.251378091,0.253922926,0.614913142,Cells_AreaShape_Zernike_6_2,0.211186225,bortezomib
87,Metadata_batch,4,4.26074276,1.06518569,1.075969134,0.36968562,Cells_AreaShape_Zernike_6_2,0.432167442,bortezomib
88,Metadata_clone_number,8,23.17556157,2.896945196,2.92627252,0.004201868,Cells_AreaShape_Zernike_6_2,2.376557626,bortezomib
89,Metadata_clone_type_indicator,1,20.36698902,20.36698902,31.40887125,7.31E-08,Cells_AreaShape_Zernike_6_4,7.136035525,bortezomib
90,Metadata_treatment_time,1,0.026873129,0.026873129,0.041442289,0.838905591,Cells_AreaShape_Zernike_6_4,0.076286911,bortezomib
91,Metadata_batch,4,5.925782715,1.481445679,2.284605571,0.061821469,Cells_AreaShape_Zernike_6_4,1.208860681,bortezomib
92,Metadata_clone_number,8,67.48338192,8.43542274,13.00865368,7.05E-15,Cells_AreaShape_Zernike_6_4,14.15161176,bortezomib
93,Metadata_clone_type_indicator,1,11.50438541,11.50438541,13.56064982,0.000301372,Cells_AreaShape_Zernike_6_6,3.520897781,bortezomib
94,Metadata_treatment_time,1,0.170346756,0.170346756,0.200794099,0.654593872,Cells_AreaShape_Zernike_6_6,0.184028065,bortezomib
95,Metadata_batch,4,5.279526213,1.319881553,1.555793804,0.187858099,Cells_AreaShape_Zernike_6_6,0.726170077,bortezomib
96,Metadata_clone_number,8,55.85974929,6.982468661,8.230497239,1.53E-09,Cells_AreaShape_Zernike_6_6,8.815490177,bortezomib
97,Metadata_clone_type_indicator,1,0.036524453,0.036524453,0.033695427,0.854552962,Cells_AreaShape_Zernike_7_1,0.068261016,bortezomib
98,Metadata_treatment_time,1,0.564023165,0.564023165,0.520336366,0.471589614,Cells_AreaShape_Zernike_7_1,0.326435768,bortezomib
99,Metadata_batch,4,1.651200007,0.412800002,0.380826296,0.822168388,Cells_AreaShape_Zernike_7_1,0.085039225,bortezomib
100,Metadata_clone_number,8,33.4412268,4.18015335,3.856376721,0.000314125,Cells_AreaShape_Zernike_7_1,3.502897438,bortezomib
101,Metadata_clone_type_indicator,1,10.12190922,10.12190922,10.3365273,0.001534017,Cells_AreaShape_Zernike_7_3,2.814169809,bortezomib
102,Metadata_treatment_time,1,0.371999788,0.371999788,0.379887419,0.538405142,Cells_AreaShape_Zernike_7_3,0.268890801,bortezomib
103,Metadata_batch,4,3.366013662,0.841503416,0.859346082,0.489458573,Cells_AreaShape_Zernike_7_3,0.31028406,bortezomib
104,Metadata_clone_number,8,36.84092102,4.605115127,4.70275886,2.85E-05,Cells_AreaShape_Zernike_7_3,4.544541737,bortezomib
105,Metadata_clone_type_indicator,1,22.98413716,22.98413716,49.70134882,3.27E-11,Cells_AreaShape_Zernike_7_5,10.48602452,bortezomib
106,Metadata_treatment_time,1,0.871756728,0.871756728,1.885103842,0.17138198,Cells_AreaShape_Zernike_7_5,0.766034845,bortezomib
107,Metadata_batch,4,4.116567051,1.029141763,2.225436326,0.067821234,Cells_AreaShape_Zernike_7_5,1.16863431,bortezomib
108,Metadata_clone_number,8,91.52032038,11.44004005,24.7381669,8.17E-26,Cells_AreaShape_Zernike_7_5,25.087973,bortezomib
109,Metadata_clone_type_indicator,1,2.951260369,2.951260369,3.654746642,0.057422385,Cells_AreaShape_Zernike_7_7,1.240918776,bortezomib
110,Metadata_treatment_time,1,0.445856737,0.445856737,0.552134752,0.458369356,Cells_AreaShape_Zernike_7_7,0.338784425,bortezomib
111,Metadata_batch,4,9.101826856,2.275456714,2.817852966,0.026501137,Cells_AreaShape_Zernike_7_7,1.576735501,bortezomib
112,Metadata_clone_number,8,50.80678416,6.35084802,7.86468748,4.13E-09,Cells_AreaShape_Zernike_7_7,8.383790387,bortezomib
113,Metadata_clone_type_indicator,1,6.52404833,6.52404833,7.016854461,0.008757673,Cells_AreaShape_Zernike_8_0,2.057611255,bortezomib
114,Metadata_treatment_time,1,0.026169291,0.026169291,0.028146037,0.866945329,Cells_AreaShape_Zernike_8_0,0.062008289,bortezomib
115,Metadata_batch,4,1.00069068,0.25017267,0.269069928,0.897607291,Cells_AreaShape_Zernike_8_0,0.046913629,bortezomib
116,Metadata_clone_number,8,31.69682416,3.96210302,4.261387845,9.99E-05,Cells_AreaShape_Zernike_8_0,4.000593114,bortezomib
117,Metadata_clone_type_indicator,1,3.486816779,3.486816779,3.206712959,0.074937092,Cells_AreaShape_Zernike_8_2,1.125303166,bortezomib
118,Metadata_treatment_time,1,2.252290704,2.252290704,2.071359135,0.151741822,Cells_AreaShape_Zernike_8_2,0.818894706,bortezomib
119,Metadata_batch,4,0.752778556,0.188194639,0.173076541,0.951982519,Cells_AreaShape_Zernike_8_2,0.021371026,bortezomib
120,Metadata_clone_number,8,7.380989849,0.922623731,0.848507295,0.561191565,Cells_AreaShape_Zernike_8_2,0.250888865,bortezomib
121,Metadata_clone_type_indicator,1,5.58291644,5.58291644,5.083822296,0.025297198,Cells_AreaShape_Zernike_8_4,1.596927581,bortezomib
122,Metadata_treatment_time,1,0.609741859,0.609741859,0.555232967,0.45711296,Cells_AreaShape_Zernike_8_4,0.339976465,bortezomib
123,Metadata_batch,4,0.996374002,0.249093501,0.226825371,0.923135476,Cells_AreaShape_Zernike_8_4,0.034734559,bortezomib
124,Metadata_clone_number,8,12.28973333,1.536216666,1.39888401,0.199259339,Cells_AreaShape_Zernike_8_4,0.700581315,bortezomib
125,Metadata_clone_type_indicator,1,19.85104102,19.85104102,26.64701061,6.15E-07,Cells_AreaShape_Zernike_8_6,6.210794321,bortezomib
126,Metadata_treatment_time,1,1.212695866,1.212695866,1.627860201,0.203565055,Cells_AreaShape_Zernike_8_6,0.691296772,bortezomib
127,Metadata_batch,4,0.579488764,0.144872191,0.194468935,0.941059613,Cells_AreaShape_Zernike_8_6,0.026382864,bortezomib
128,Metadata_clone_number,8,81.47832044,10.18479005,13.67153533,1.42E-15,Cells_AreaShape_Zernike_8_6,14.84743318,bortezomib
129,Metadata_clone_type_indicator,1,4.158784648,4.158784648,4.709488692,0.031244004,Cells_AreaShape_Zernike_8_8,1.50523331,bortezomib
130,Metadata_treatment_time,1,1.547577308,1.547577308,1.75250667,0.187160844,Cells_AreaShape_Zernike_8_8,0.727785004,bortezomib
131,Metadata_batch,4,5.010731018,1.252682755,1.418562337,0.229366724,Cells_AreaShape_Zernike_8_8,0.639469589,bortezomib
132,Metadata_clone_number,8,47.72723272,5.96590409,6.755905926,8.77E-08,Cells_AreaShape_Zernike_8_8,7.057018527,bortezomib
133,Metadata_clone_type_indicator,1,1.836218173,1.836218173,1.744487463,0.18816824,Cells_AreaShape_Zernike_9_1,0.725453677,bortezomib
134,Metadata_treatment_time,1,2.81835359,2.81835359,2.677559005,0.103435737,Cells_AreaShape_Zernike_9_1,0.985329388,bortezomib
135,Metadata_batch,4,3.13543801,0.783859503,0.744700763,0.5626651,Cells_AreaShape_Zernike_9_1,0.249750022,bortezomib
136,Metadata_clone_number,8,9.660625093,1.207578137,1.147251972,0.333664519,Cells_AreaShape_Zernike_9_1,0.476689972,bortezomib
137,Metadata_clone_type_indicator,1,4.461778253,4.461778253,4.161164987,0.042752444,Cells_AreaShape_Zernike_9_3,1.369039055,bortezomib
138,Metadata_treatment_time,1,0.679792164,0.679792164,0.633991022,0.42689413,Cells_AreaShape_Zernike_9_3,0.369679817,bortezomib
139,Metadata_batch,4,1.458076794,0.364519199,0.339959639,0.850751986,Cells_AreaShape_Zernike_9_3,0.070197028,bortezomib
140,Metadata_clone_number,8,20.58187857,2.572734822,2.399396262,0.017346543,Cells_AreaShape_Zernike_9_3,1.760787059,bortezomib
141,Metadata_clone_type_indicator,1,15.97577103,15.97577103,22.44834462,4.23E-06,Cells_AreaShape_Zernike_9_5,5.373424678,bortezomib
142,Metadata_treatment_time,1,0.019858453,0.019858453,0.027904093,0.867513086,Cells_AreaShape_Zernike_9_5,0.061723965,bortezomib
143,Metadata_batch,4,0.844676009,0.211169002,0.296723991,0.8798366,Cells_AreaShape_Zernike_9_5,0.055597976,bortezomib
144,Metadata_clone_number,8,70.07069052,8.758836315,12.30747334,3.94E-14,Cells_AreaShape_Zernike_9_5,13.40403618,bortezomib
145,Metadata_clone_type_indicator,1,23.15465319,23.15465319,51.58571673,1.53E-11,Cells_AreaShape_Zernike_9_7,10.81482305,bortezomib
146,Metadata_treatment_time,1,0.587245426,0.587245426,1.308310513,0.254147403,Cells_AreaShape_Zernike_9_7,0.594914324,bortezomib
147,Metadata_batch,4,6.373754049,1.593438512,3.549984836,0.008088987,Cells_AreaShape_Zernike_9_7,2.092105855,bortezomib
148,Metadata_clone_number,8,92.65991116,11.5824889,25.80435933,1.10E-26,Cells_AreaShape_Zernike_9_7,25.95688891,bortezomib
149,Metadata_clone_type_indicator,1,2.420436789,2.420436789,3.397593109,0.066857641,Cells_AreaShape_Zernike_9_9,1.174848951,bortezomib
150,Metadata_treatment_time,1,0.426329193,0.426329193,0.598442866,0.440139267,Cells_AreaShape_Zernike_9_9,0.356409884,bortezomib
151,Metadata_batch,4,6.463397175,1.615849294,2.268185003,0.063433262,Cells_AreaShape_Zernike_9_9,1.197682957,bortezomib
152,Metadata_clone_number,8,49.15683137,6.144603921,8.625246498,5.27E-10,Cells_AreaShape_Zernike_9_9,9.2777852,bortezomib
153,Metadata_clone_type_indicator,1,10.89529655,10.89529655,47.84723129,6.92E-11,Cells_Correlation_Correlation_DNA_AGP,10.15973778,bortezomib
154,Metadata_treatment_time,1,0.16056007,0.16056007,0.705107455,0.402133736,Cells_Correlation_Correlation_DNA_AGP,0.395629491,bortezomib
155,Metadata_batch,4,3.738244093,0.934561023,4.104170751,0.003263252,Cells_Correlation_Correlation_DNA_AGP,2.486349363,bortezomib
156,Metadata_clone_number,8,37.40850124,4.676062655,20.5351594,3.33E-22,Cells_Correlation_Correlation_DNA_AGP,21.47818778,bortezomib
157,Metadata_clone_type_indicator,1,47.91453272,47.91453272,205.4544528,5.09E-32,Cells_Correlation_Correlation_DNA_ER,31.29335508,bortezomib
158,Metadata_treatment_time,1,0.003997799,0.003997799,0.017142307,0.895971022,Cells_Correlation_Correlation_DNA_ER,0.047706036,bortezomib
159,Metadata_batch,4,3.94875372,0.98718843,4.23300087,0.002640782,Cells_Correlation_Correlation_DNA_ER,2.578267405,bortezomib
160,Metadata_clone_number,8,42.03499159,5.254373948,22.53041954,5.89E-24,Cells_Correlation_Correlation_DNA_ER,23.23000582,bortezomib
161,Metadata_clone_type_indicator,1,21.24286733,21.24286733,111.0171616,1.02E-20,Cells_Correlation_Correlation_DNA_Mito,19.98944234,bortezomib
162,Metadata_treatment_time,1,0.037986939,0.037986939,0.198523206,0.656425463,Cells_Correlation_Correlation_DNA_Mito,0.182814581,bortezomib
163,Metadata_batch,4,2.952079412,0.738019853,3.856959044,0.004895444,Cells_Correlation_Correlation_DNA_Mito,2.310207887,bortezomib
164,Metadata_clone_number,8,76.57795711,9.572244639,50.02542328,1.03E-42,Cells_Correlation_Correlation_DNA_Mito,41.98653546,bortezomib
165,Metadata_clone_type_indicator,1,17.22340256,17.22340256,94.65986556,2.15E-18,Cells_Correlation_Correlation_DNA_RNA,17.66673792,bortezomib
166,Metadata_treatment_time,1,0.011273183,0.011273183,0.061957444,0.80369873,Cells_Correlation_Correlation_DNA_RNA,0.094906718,bortezomib
167,Metadata_batch,4,3.735189608,0.933797402,5.132152968,0.0006015,Cells_Correlation_Correlation_DNA_RNA,3.220764174,bortezomib
168,Metadata_clone_number,8,43.28564359,5.410705448,29.73725132,9.65E-30,Cells_Correlation_Correlation_DNA_RNA,29.01552472,bortezomib
169,Metadata_clone_type_indicator,1,0.002915783,0.002915783,0.006129469,0.937679461,Cells_Correlation_Correlation_ER_AGP,0.027945597,bortezomib
170,Metadata_treatment_time,1,2.216629203,2.216629203,4.659729949,0.032138795,Cells_Correlation_Correlation_ER_AGP,1.492970416,bortezomib
171,Metadata_batch,4,3.601534911,0.900383728,1.892759066,0.113380055,Cells_Correlation_Correlation_ER_AGP,0.945463337,bortezomib
172,Metadata_clone_number,8,42.65392829,5.331741036,11.20822253,6.20E-13,Cells_Correlation_Correlation_ER_AGP,12.20770367,bortezomib
173,Metadata_clone_type_indicator,1,14.65803018,14.65803018,64.78587387,9.05E-14,Cells_Correlation_Correlation_ER_RNA,13.04330469,bortezomib
174,Metadata_treatment_time,1,0.011626915,0.011626915,0.051388887,0.820908889,Cells_Correlation_Correlation_ER_RNA,0.085705042,bortezomib
175,Metadata_batch,4,3.047470482,0.761867621,3.36731873,0.010895039,Cells_Correlation_Correlation_ER_RNA,1.962771209,bortezomib
176,Metadata_clone_number,8,48.2040508,6.02550635,26.63166126,2.40E-27,Cells_Correlation_Correlation_ER_RNA,26.61900836,bortezomib
177,Metadata_clone_type_indicator,1,1.293908466,1.293908466,2.692089802,0.1025106,Cells_Correlation_Correlation_Mito_AGP,0.989231225,bortezomib
178,Metadata_treatment_time,1,1.448466817,1.448466817,3.013661977,0.084195244,Cells_Correlation_Correlation_Mito_AGP,1.07471244,bortezomib
179,Metadata_batch,4,2.232398002,0.558099501,1.161174854,0.329391322,Cells_Correlation_Correlation_Mito_AGP,0.482287846,bortezomib
180,Metadata_clone_number,8,58.97351904,7.37168988,15.33744594,2.81E-17,Cells_Correlation_Correlation_Mito_AGP,16.5505543,bortezomib
181,Metadata_clone_type_indicator,1,1.999669886,1.999669886,3.848917029,0.051246447,Cells_Correlation_Correlation_Mito_ER,1.290336241,bortezomib
182,Metadata_treatment_time,1,0.39219871,0.39219871,0.754894748,0.386032909,Cells_Correlation_Correlation_Mito_ER,0.41337567,bortezomib
183,Metadata_batch,4,3.783161288,0.945790322,1.820434714,0.126549976,Cells_Correlation_Correlation_Mito_ER,0.897737933,bortezomib
184,Metadata_clone_number,8,66.9348587,8.366857337,16.10432797,4.86E-18,Cells_Correlation_Correlation_Mito_ER,17.31333878,bortezomib
185,Metadata_clone_type_indicator,1,8.224542493,8.224542493,19.70461333,1.53E-05,Cells_Correlation_Correlation_Mito_RNA,4.814121056,bortezomib
186,Metadata_treatment_time,1,0.200869102,0.200869102,0.481248408,0.488709099,Cells_Correlation_Correlation_Mito_RNA,0.310949575,bortezomib
187,Metadata_batch,4,2.417377914,0.604344479,1.447907197,0.219857175,Cells_Correlation_Correlation_Mito_RNA,0.657859357,bortezomib
188,Metadata_clone_number,8,75.3148419,9.414355237,22.55520351,5.61E-24,Cells_Correlation_Correlation_Mito_RNA,23.25132039,bortezomib
189,Metadata_clone_type_indicator,1,6.013164042,6.013164042,13.32612144,0.000338659,Cells_Correlation_Correlation_RNA_AGP,3.47023691,bortezomib
190,Metadata_treatment_time,1,2.599862744,2.599862744,5.761706551,0.017349487,Cells_Correlation_Correlation_RNA_AGP,1.760713366,bortezomib
191,Metadata_batch,4,5.929858861,1.482464715,3.285375999,0.012448363,Cells_Correlation_Correlation_RNA_AGP,1.904887762,bortezomib
192,Metadata_clone_number,8,33.86303719,4.232879649,9.380729986,7.05E-11,Cells_Correlation_Correlation_RNA_AGP,10.1519614,bortezomib
193,Metadata_clone_type_indicator,1,0.426715559,0.426715559,5.6763745,0.01818683,Cells_Correlation_Costes_DNA_Mito,1.740242989,bortezomib
194,Metadata_treatment_time,1,0.332678237,0.332678237,4.425445054,0.036729858,Cells_Correlation_Costes_DNA_Mito,1.43498075,bortezomib
195,Metadata_batch,4,1.527676341,0.381919085,5.080470381,0.000654892,Cells_Correlation_Costes_DNA_Mito,3.183830129,bortezomib
196,Metadata_clone_number,8,1.428227106,0.178528388,2.374870026,0.018502512,Cells_Correlation_Costes_DNA_Mito,1.732769311,bortezomib
197,Metadata_clone_type_indicator,1,11.55217412,11.55217412,15.30017256,0.000127812,Cells_Correlation_K_AGP_DNA,3.893426762,bortezomib
198,Metadata_treatment_time,1,0.913061696,0.913061696,1.209296307,0.27287027,Cells_Correlation_K_AGP_DNA,0.564043779,bortezomib
