"","features","dataset"
"44","Cells_Correlation_Correlation_ER_RNA","bortezomib"
"45","Cells_Correlation_Correlation_Mito_AGP","bortezomib"
"46","Cells_Correlation_Correlation_Mito_ER","bortezomib"
"47","Cells_Correlation_Correlation_Mito_RNA","bortezomib"
"48","Cells_Correlation_Correlation_RNA_AGP","bortezomib"
"49","Cells_Correlation_Costes_DNA_Mito","bortezomib"
"50","Cells_Correlation_K_AGP_DNA","bortezomib"
"51","Cells_Correlation_K_AGP_ER","bortezomib"
"52","Cells_Correlation_K_DNA_AGP","bortezomib"
"53","Cells_Correlation_K_DNA_ER","bortezomib"
"54","Cells_Correlation_K_DNA_Mito","bortezomib"
"55","Cells_Correlation_K_DNA_RNA","bortezomib"
"56","Cells_Correlation_K_ER_AGP","bortezomib"
"57","Cells_Correlation_K_ER_DNA","bortezomib"
"58","Cells_Correlation_K_ER_RNA","bortezomib"
"59","Cells_Correlation_K_Mito_DNA","bortezomib"
"60","Cells_Correlation_K_RNA_DNA","bortezomib"
"61","Cells_Correlation_K_RNA_ER","bortezomib"
"62","Cells_Correlation_Manders_AGP_DNA","bortezomib"
"63","Cells_Correlation_Manders_AGP_RNA","bortezomib"
"64","Cells_Correlation_Manders_DNA_Mito","bortezomib"
"65","Cells_Correlation_Manders_ER_AGP","bortezomib"
"66","Cells_Correlation_Manders_ER_DNA","bortezomib"
"67","Cells_Correlation_Manders_ER_Mito","bortezomib"
"68","Cells_Correlation_Manders_ER_RNA","bortezomib"
"69","Cells_Correlation_Manders_Mito_AGP","bortezomib"
"70","Cells_Correlation_Manders_Mito_DNA","bortezomib"
"71","Cells_Correlation_Manders_Mito_ER","bortezomib"
"72","Cells_Correlation_Manders_Mito_RNA","bortezomib"
"73","Cells_Correlation_Manders_RNA_AGP","bortezomib"
"74","Cells_Correlation_Manders_RNA_ER","bortezomib"
"75","Cells_Correlation_Manders_RNA_Mito","bortezomib"
"76","Cells_Correlation_Overlap_DNA_AGP","bortezomib"
"77","Cells_Correlation_Overlap_DNA_ER","bortezomib"
"78","Cells_Correlation_Overlap_DNA_Mito","bortezomib"
"79","Cells_Correlation_Overlap_DNA_RNA","bortezomib"
"80","Cells_Correlation_Overlap_ER_AGP","bortezomib"
"81","Cells_Correlation_Overlap_ER_RNA","bortezomib"
"82","Cells_Correlation_Overlap_Mito_AGP","bortezomib"
"83","Cells_Correlation_Overlap_Mito_ER","bortezomib"
"84","Cells_Correlation_Overlap_RNA_AGP","bortezomib"
"85","Cells_Correlation_RWC_AGP_DNA","bortezomib"
"86","Cells_Correlation_RWC_AGP_ER","bortezomib"
"87","Cells_Correlation_RWC_AGP_Mito","bortezomib"
"88","Cells_Correlation_RWC_AGP_RNA","bortezomib"
"89","Cells_Correlation_RWC_DNA_AGP","bortezomib"
"90","Cells_Correlation_RWC_DNA_ER","bortezomib"
"91","Cells_Correlation_RWC_DNA_Mito","bortezomib"
"92","Cells_Correlation_RWC_DNA_RNA","bortezomib"
"93","Cells_Correlation_RWC_ER_AGP","bortezomib"
"94","Cells_Correlation_RWC_ER_DNA","bortezomib"
"95","Cells_Correlation_RWC_ER_Mito","bortezomib"
"96","Cells_Correlation_RWC_ER_RNA","bortezomib"
"97","Cells_Correlation_RWC_Mito_AGP","bortezomib"
"98","Cells_Correlation_RWC_Mito_DNA","bortezomib"
"99","Cells_Correlation_RWC_Mito_ER","bortezomib"
"100","Cells_Correlation_RWC_Mito_RNA","bortezomib"
"101","Cells_Correlation_RWC_RNA_AGP","bortezomib"
"102","Cells_Correlation_RWC_RNA_DNA","bortezomib"
"103","Cells_Correlation_RWC_RNA_ER","bortezomib"
"104","Cells_Correlation_RWC_RNA_Mito","bortezomib"
"105","Cells_Granularity_16_Mito","bortezomib"
"106","Cells_Granularity_2_AGP","bortezomib"
"107","Cells_Granularity_2_ER","bortezomib"
"108","Cells_Granularity_2_Mito","bortezomib"
"109","Cells_Granularity_3_Mito","bortezomib"
"110","Cells_Granularity_4_Mito","bortezomib"
"111","Cells_Intensity_IntegratedIntensityEdge_AGP","bortezomib"
"112","Cells_Intensity_IntegratedIntensityEdge_Mito","bortezomib"
"113","Cells_Intensity_IntegratedIntensityEdge_RNA","bortezomib"
"114","Cells_Intensity_IntegratedIntensity_AGP","bortezomib"
"115","Cells_Intensity_IntegratedIntensity_DNA","bortezomib"
"116","Cells_Intensity_IntegratedIntensity_ER","bortezomib"
"117","Cells_Intensity_IntegratedIntensity_Mito","bortezomib"
"118","Cells_Intensity_IntegratedIntensity_RNA","bortezomib"
"119","Cells_Intensity_LowerQuartileIntensity_Mito","bortezomib"
"120","Cells_Intensity_MADIntensity_DNA","bortezomib"
"121","Cells_Intensity_MassDisplacement_AGP","bortezomib"
"122","Cells_Intensity_MassDisplacement_DNA","bortezomib"
"123","Cells_Intensity_MassDisplacement_Mito","bortezomib"
"124","Cells_Intensity_MassDisplacement_RNA","bortezomib"
"125","Cells_Intensity_MaxIntensityEdge_AGP","bortezomib"
"126","Cells_Intensity_MeanIntensityEdge_AGP","bortezomib"
"127","Cells_Intensity_MeanIntensityEdge_Mito","bortezomib"
"128","Cells_Intensity_MeanIntensityEdge_RNA","bortezomib"
"129","Cells_Intensity_MedianIntensity_DNA","bortezomib"
"130","Cells_Intensity_MedianIntensity_ER","bortezomib"
"131","Cells_Intensity_MedianIntensity_Mito","bortezomib"
"132","Cells_Intensity_StdIntensityEdge_ER","bortezomib"
"133","Cells_Neighbors_AngleBetweenNeighbors_10","bortezomib"
"134","Cells_Neighbors_FirstClosestDistance_10","bortezomib"
"135","Cells_Neighbors_NumberOfNeighbors_10","bortezomib"
"136","Cells_Neighbors_PercentTouching_10","bortezomib"
"137","Cells_RadialDistribution_FracAtD_DNA_1of4","bortezomib"
"138","Cells_RadialDistribution_FracAtD_DNA_3of4","bortezomib"
"139","Cells_RadialDistribution_FracAtD_ER_1of4","bortezomib"
"140","Cells_RadialDistribution_MeanFrac_DNA_2of4","bortezomib"
"141","Cells_RadialDistribution_MeanFrac_DNA_3of4","bortezomib"
"142","Cells_RadialDistribution_MeanFrac_DNA_4of4","bortezomib"
"143","Cells_RadialDistribution_MeanFrac_ER_1of4","bortezomib"
"144","Cells_RadialDistribution_MeanFrac_ER_4of4","bortezomib"
"145","Cells_RadialDistribution_MeanFrac_Mito_1of4","bortezomib"
"146","Cells_RadialDistribution_MeanFrac_Mito_3of4","bortezomib"
"147","Cells_RadialDistribution_RadialCV_AGP_1of4","bortezomib"
"148","Cells_RadialDistribution_RadialCV_AGP_2of4","bortezomib"
"149","Cells_RadialDistribution_RadialCV_AGP_3of4","bortezomib"
"150","Cells_RadialDistribution_RadialCV_DNA_1of4","bortezomib"
"151","Cells_RadialDistribution_RadialCV_DNA_2of4","bortezomib"
"152","Cells_RadialDistribution_RadialCV_DNA_3of4","bortezomib"
"153","Cells_RadialDistribution_RadialCV_DNA_4of4","bortezomib"
"154","Cells_RadialDistribution_RadialCV_ER_1of4","bortezomib"
"155","Cells_RadialDistribution_RadialCV_ER_2of4","bortezomib"
"156","Cells_RadialDistribution_RadialCV_ER_3of4","bortezomib"
"157","Cells_RadialDistribution_RadialCV_ER_4of4","bortezomib"
"158","Cells_RadialDistribution_RadialCV_Mito_1of4","bortezomib"
"159","Cells_RadialDistribution_RadialCV_Mito_2of4","bortezomib"
"160","Cells_RadialDistribution_RadialCV_Mito_3of4","bortezomib"
"161","Cells_RadialDistribution_RadialCV_RNA_1of4","bortezomib"
"162","Cells_RadialDistribution_RadialCV_RNA_2of4","bortezomib"
"163","Cells_RadialDistribution_RadialCV_RNA_3of4","bortezomib"
"164","Cells_Texture_AngularSecondMoment_DNA_5_00","bortezomib"
"165","Cells_Texture_AngularSecondMoment_ER_20_03","bortezomib"
"166","Cells_Texture_Correlation_AGP_10_00","bortezomib"
"167","Cells_Texture_Correlation_AGP_10_01","bortezomib"
"168","Cells_Texture_Correlation_AGP_10_02","bortezomib"
"169","Cells_Texture_Correlation_AGP_10_03","bortezomib"
"170","Cells_Texture_Correlation_AGP_20_00","bortezomib"
"171","Cells_Texture_Correlation_AGP_20_01","bortezomib"
"172","Cells_Texture_Correlation_AGP_20_02","bortezomib"
"173","Cells_Texture_Correlation_AGP_20_03","bortezomib"
"174","Cells_Texture_Correlation_AGP_5_00","bortezomib"
"175","Cells_Texture_Correlation_AGP_5_01","bortezomib"
"176","Cells_Texture_Correlation_AGP_5_02","bortezomib"
"177","Cells_Texture_Correlation_AGP_5_03","bortezomib"
"178","Cells_Texture_Correlation_DNA_5_00","bortezomib"
"179","Cells_Texture_Correlation_ER_10_00","bortezomib"
"180","Cells_Texture_Correlation_ER_10_01","bortezomib"
"181","Cells_Texture_Correlation_ER_10_02","bortezomib"
"182","Cells_Texture_Correlation_ER_10_03","bortezomib"
"183","Cells_Texture_Correlation_ER_20_02","bortezomib"
"184","Cells_Texture_Correlation_ER_5_00","bortezomib"
"185","Cells_Texture_Correlation_ER_5_01","bortezomib"
"186","Cells_Texture_Correlation_ER_5_02","bortezomib"
"187","Cells_Texture_Correlation_ER_5_03","bortezomib"
"188","Cells_Texture_Correlation_Mito_10_00","bortezomib"
"189","Cells_Texture_Correlation_Mito_10_01","bortezomib"
"190","Cells_Texture_Correlation_Mito_10_02","bortezomib"
"191","Cells_Texture_Correlation_Mito_10_03","bortezomib"
"192","Cells_Texture_Correlation_Mito_20_00","bortezomib"
"193","Cells_Texture_Correlation_Mito_20_01","bortezomib"
"194","Cells_Texture_Correlation_Mito_20_02","bortezomib"
"195","Cells_Texture_Correlation_Mito_20_03","bortezomib"
"196","Cells_Texture_Correlation_Mito_5_00","bortezomib"
"197","Cells_Texture_Correlation_Mito_5_01","bortezomib"
"198","Cells_Texture_Correlation_Mito_5_03","bortezomib"
"199","Cells_Texture_Correlation_RNA_10_00","bortezomib"
"200","Cells_Texture_Correlation_RNA_10_01","bortezomib"
"201","Cells_Texture_Correlation_RNA_10_02","bortezomib"
"202","Cells_Texture_Correlation_RNA_10_03","bortezomib"
"203","Cells_Texture_Correlation_RNA_5_00","bortezomib"
"204","Cells_Texture_Correlation_RNA_5_01","bortezomib"
"205","Cells_Texture_Correlation_RNA_5_02","bortezomib"
"206","Cells_Texture_Correlation_RNA_5_03","bortezomib"
"207","Cells_Texture_Entropy_DNA_20_03","bortezomib"
"208","Cells_Texture_Entropy_ER_20_01","bortezomib"
"209","Cells_Texture_InfoMeas1_AGP_10_00","bortezomib"
"210","Cells_Texture_InfoMeas1_AGP_10_01","bortezomib"
"211","Cells_Texture_InfoMeas1_AGP_20_00","bortezomib"
"212","Cells_Texture_InfoMeas1_AGP_5_00","bortezomib"
"213","Cells_Texture_InfoMeas1_AGP_5_03","bortezomib"
"214","Cells_Texture_InfoMeas1_DNA_10_00","bortezomib"
"215","Cells_Texture_InfoMeas1_DNA_10_01","bortezomib"
"216","Cells_Texture_InfoMeas1_DNA_10_02","bortezomib"
"217","Cells_Texture_InfoMeas1_DNA_20_00","bortezomib"
"218","Cells_Texture_InfoMeas1_DNA_20_03","bortezomib"
"219","Cells_Texture_InfoMeas1_DNA_5_02","bortezomib"
"220","Cells_Texture_InfoMeas1_DNA_5_03","bortezomib"
"221","Cells_Texture_InfoMeas1_ER_10_00","bortezomib"
"222","Cells_Texture_InfoMeas1_ER_10_01","bortezomib"
"223","Cells_Texture_InfoMeas1_ER_20_00","bortezomib"
"224","Cells_Texture_InfoMeas1_ER_5_00","bortezomib"
"225","Cells_Texture_InfoMeas1_ER_5_01","bortezomib"
"226","Cells_Texture_InfoMeas1_Mito_10_01","bortezomib"
"227","Cells_Texture_InfoMeas1_Mito_5_02","bortezomib"
"228","Cells_Texture_InfoMeas1_RNA_10_00","bortezomib"
"229","Cells_Texture_InfoMeas1_RNA_10_01","bortezomib"
"230","Cells_Texture_InfoMeas1_RNA_20_02","bortezomib"
"231","Cells_Texture_InfoMeas1_RNA_5_02","bortezomib"
"232","Cells_Texture_InfoMeas1_RNA_5_03","bortezomib"
"233","Cells_Texture_InfoMeas2_AGP_5_02","bortezomib"
"234","Cells_Texture_InfoMeas2_DNA_10_03","bortezomib"
"235","Cells_Texture_InfoMeas2_DNA_5_02","bortezomib"
"236","Cells_Texture_InfoMeas2_ER_5_02","bortezomib"
"237","Cells_Texture_InfoMeas2_Mito_5_02","bortezomib"
"238","Cells_Texture_InfoMeas2_RNA_5_02","bortezomib"
"239","Cells_Texture_InverseDifferenceMoment_DNA_20_03","bortezomib"
"240","Cells_Texture_SumAverage_DNA_20_01","bortezomib"
"241","Cytoplasm_AreaShape_Area","bortezomib"
"242","Cytoplasm_AreaShape_Compactness","bortezomib"
"243","Cytoplasm_AreaShape_Eccentricity","bortezomib"
"244","Cytoplasm_AreaShape_MedianRadius","bortezomib"
"245","Cytoplasm_AreaShape_MinorAxisLength","bortezomib"
"246","Cytoplasm_AreaShape_Orientation","bortezomib"
"247","Cytoplasm_AreaShape_Perimeter","bortezomib"
"248","Cytoplasm_AreaShape_Zernike_0_0","bortezomib"
"249","Cytoplasm_AreaShape_Zernike_1_1","bortezomib"
"250","Cytoplasm_AreaShape_Zernike_2_0","bortezomib"
"251","Cytoplasm_AreaShape_Zernike_2_2","bortezomib"
"252","Cytoplasm_AreaShape_Zernike_3_1","bortezomib"
"253","Cytoplasm_AreaShape_Zernike_3_3","bortezomib"
"254","Cytoplasm_AreaShape_Zernike_4_0","bortezomib"
"255","Cytoplasm_AreaShape_Zernike_4_2","bortezomib"
"256","Cytoplasm_AreaShape_Zernike_4_4","bortezomib"
"257","Cytoplasm_AreaShape_Zernike_5_1","bortezomib"
"258","Cytoplasm_AreaShape_Zernike_5_3","bortezomib"
"259","Cytoplasm_AreaShape_Zernike_5_5","bortezomib"
"260","Cytoplasm_AreaShape_Zernike_6_0","bortezomib"
"261","Cytoplasm_AreaShape_Zernike_6_2","bortezomib"
"262","Cytoplasm_AreaShape_Zernike_6_4","bortezomib"
"263","Cytoplasm_AreaShape_Zernike_6_6","bortezomib"
"264","Cytoplasm_AreaShape_Zernike_7_1","bortezomib"
"265","Cytoplasm_AreaShape_Zernike_7_3","bortezomib"
"266","Cytoplasm_AreaShape_Zernike_7_5","bortezomib"
"267","Cytoplasm_AreaShape_Zernike_7_7","bortezomib"
"268","Cytoplasm_AreaShape_Zernike_8_0","bortezomib"
"269","Cytoplasm_AreaShape_Zernike_8_2","bortezomib"
"270","Cytoplasm_AreaShape_Zernike_8_4","bortezomib"
"271","Cytoplasm_AreaShape_Zernike_8_6","bortezomib"
"272","Cytoplasm_AreaShape_Zernike_8_8","bortezomib"
"273","Cytoplasm_AreaShape_Zernike_9_1","bortezomib"
"274","Cytoplasm_AreaShape_Zernike_9_3","bortezomib"
"275","Cytoplasm_AreaShape_Zernike_9_5","bortezomib"
"276","Cytoplasm_AreaShape_Zernike_9_7","bortezomib"
"277","Cytoplasm_AreaShape_Zernike_9_9","bortezomib"
"278","Cytoplasm_Correlation_Correlation_DNA_AGP","bortezomib"
"279","Cytoplasm_Correlation_Correlation_DNA_ER","bortezomib"
"280","Cytoplasm_Correlation_Correlation_DNA_Mito","bortezomib"
"281","Cytoplasm_Correlation_Correlation_DNA_RNA","bortezomib"
"282","Cytoplasm_Correlation_Correlation_ER_AGP","bortezomib"
"283","Cytoplasm_Correlation_Correlation_ER_RNA","bortezomib"
"284","Cytoplasm_Correlation_Correlation_RNA_AGP","bortezomib"
"285","Cytoplasm_Correlation_K_AGP_DNA","bortezomib"
"286","Cytoplasm_Correlation_K_AGP_Mito","bortezomib"
"287","Cytoplasm_Correlation_K_DNA_AGP","bortezomib"
"288","Cytoplasm_Correlation_K_DNA_ER","bortezomib"
"289","Cytoplasm_Correlation_K_DNA_Mito","bortezomib"
"290","Cytoplasm_Correlation_K_DNA_RNA","bortezomib"
"291","Cytoplasm_Correlation_K_ER_DNA","bortezomib"
"292","Cytoplasm_Correlation_K_ER_Mito","bortezomib"
"293","Cytoplasm_Correlation_K_Mito_AGP","bortezomib"
"294","Cytoplasm_Correlation_K_Mito_DNA","bortezomib"
"295","Cytoplasm_Correlation_K_Mito_ER","bortezomib"
"296","Cytoplasm_Correlation_K_Mito_RNA","bortezomib"
"297","Cytoplasm_Correlation_K_RNA_DNA","bortezomib"
"298","Cytoplasm_Correlation_K_RNA_Mito","bortezomib"
"299","Cytoplasm_Correlation_Manders_AGP_RNA","bortezomib"
"300","Cytoplasm_Correlation_Manders_DNA_AGP","bortezomib"
"301","Cytoplasm_Correlation_Manders_DNA_ER","bortezomib"
"302","Cytoplasm_Correlation_Manders_DNA_Mito","bortezomib"
"303","Cytoplasm_Correlation_Manders_DNA_RNA","bortezomib"
"304","Cytoplasm_Correlation_Manders_ER_AGP","bortezomib"
"305","Cytoplasm_Correlation_Manders_ER_DNA","bortezomib"
"306","Cytoplasm_Correlation_Manders_ER_RNA","bortezomib"
"307","Cytoplasm_Correlation_Manders_Mito_AGP","bortezomib"
"308","Cytoplasm_Correlation_Manders_Mito_DNA","bortezomib"
"309","Cytoplasm_Correlation_Manders_RNA_AGP","bortezomib"
"310","Cytoplasm_Correlation_Manders_RNA_DNA","bortezomib"
"311","Cytoplasm_Correlation_Overlap_DNA_AGP","bortezomib"
"312","Cytoplasm_Correlation_Overlap_DNA_ER","bortezomib"
"313","Cytoplasm_Correlation_Overlap_DNA_Mito","bortezomib"
"314","Cytoplasm_Correlation_Overlap_DNA_RNA","bortezomib"
"315","Cytoplasm_Correlation_Overlap_ER_AGP","bortezomib"
"316","Cytoplasm_Correlation_Overlap_ER_RNA","bortezomib"
"317","Cytoplasm_Correlation_Overlap_Mito_RNA","bortezomib"
"318","Cytoplasm_Correlation_Overlap_RNA_AGP","bortezomib"
"319","Cytoplasm_Correlation_RWC_AGP_DNA","bortezomib"
"320","Cytoplasm_Correlation_RWC_AGP_ER","bortezomib"
"321","Cytoplasm_Correlation_RWC_AGP_Mito","bortezomib"
"322","Cytoplasm_Correlation_RWC_AGP_RNA","bortezomib"
"323","Cytoplasm_Correlation_RWC_DNA_AGP","bortezomib"
"324","Cytoplasm_Correlation_RWC_DNA_ER","bortezomib"
"325","Cytoplasm_Correlation_RWC_DNA_Mito","bortezomib"
"326","Cytoplasm_Correlation_RWC_DNA_RNA","bortezomib"
"327","Cytoplasm_Correlation_RWC_ER_AGP","bortezomib"
"328","Cytoplasm_Correlation_RWC_ER_DNA","bortezomib"
"329","Cytoplasm_Correlation_RWC_ER_Mito","bortezomib"
"330","Cytoplasm_Correlation_RWC_ER_RNA","bortezomib"
"331","Cytoplasm_Correlation_RWC_Mito_AGP","bortezomib"
"332","Cytoplasm_Correlation_RWC_Mito_DNA","bortezomib"
"333","Cytoplasm_Correlation_RWC_Mito_ER","bortezomib"
"334","Cytoplasm_Correlation_RWC_Mito_RNA","bortezomib"
"335","Cytoplasm_Correlation_RWC_RNA_AGP","bortezomib"
"336","Cytoplasm_Correlation_RWC_RNA_DNA","bortezomib"
"337","Cytoplasm_Correlation_RWC_RNA_ER","bortezomib"
"338","Cytoplasm_Correlation_RWC_RNA_Mito","bortezomib"
"339","Cytoplasm_Granularity_10_Mito","bortezomib"
"340","Cytoplasm_Granularity_11_ER","bortezomib"
"341","Cytoplasm_Granularity_11_Mito","bortezomib"
"342","Cytoplasm_Granularity_12_ER","bortezomib"
"343","Cytoplasm_Granularity_12_Mito","bortezomib"
"344","Cytoplasm_Granularity_12_RNA","bortezomib"
"345","Cytoplasm_Granularity_13_ER","bortezomib"
"346","Cytoplasm_Granularity_13_Mito","bortezomib"
"347","Cytoplasm_Granularity_13_RNA","bortezomib"
"348","Cytoplasm_Granularity_1_ER","bortezomib"
"349","Cytoplasm_Granularity_1_Mito","bortezomib"
"350","Cytoplasm_Granularity_2_AGP","bortezomib"
"351","Cytoplasm_Granularity_2_ER","bortezomib"
"352","Cytoplasm_Granularity_2_Mito","bortezomib"
"353","Cytoplasm_Granularity_2_RNA","bortezomib"
"354","Cytoplasm_Granularity_3_AGP","bortezomib"
"355","Cytoplasm_Granularity_3_ER","bortezomib"
"356","Cytoplasm_Granularity_3_Mito","bortezomib"
"357","Cytoplasm_Granularity_3_RNA","bortezomib"
"358","Cytoplasm_Granularity_4_AGP","bortezomib"
"359","Cytoplasm_Granularity_4_ER","bortezomib"
"360","Cytoplasm_Granularity_4_Mito","bortezomib"
"361","Cytoplasm_Granularity_4_RNA","bortezomib"
"362","Cytoplasm_Intensity_IntegratedIntensityEdge_AGP","bortezomib"
"363","Cytoplasm_Intensity_IntegratedIntensityEdge_DNA","bortezomib"
"364","Cytoplasm_Intensity_IntegratedIntensityEdge_Mito","bortezomib"
"365","Cytoplasm_Intensity_IntegratedIntensityEdge_RNA","bortezomib"
"366","Cytoplasm_Intensity_IntegratedIntensity_AGP","bortezomib"
"367","Cytoplasm_Intensity_IntegratedIntensity_DNA","bortezomib"
"368","Cytoplasm_Intensity_IntegratedIntensity_ER","bortezomib"
"369","Cytoplasm_Intensity_IntegratedIntensity_Mito","bortezomib"
"370","Cytoplasm_Intensity_IntegratedIntensity_RNA","bortezomib"
"371","Cytoplasm_Intensity_LowerQuartileIntensity_AGP","bortezomib"
"372","Cytoplasm_Intensity_LowerQuartileIntensity_Mito","bortezomib"
"373","Cytoplasm_Intensity_MADIntensity_DNA","bortezomib"
"374","Cytoplasm_Intensity_MADIntensity_ER","bortezomib"
"375","Cytoplasm_Intensity_MADIntensity_Mito","bortezomib"
"376","Cytoplasm_Intensity_MassDisplacement_AGP","bortezomib"
"377","Cytoplasm_Intensity_MassDisplacement_DNA","bortezomib"
"378","Cytoplasm_Intensity_MassDisplacement_ER","bortezomib"
"379","Cytoplasm_Intensity_MassDisplacement_Mito","bortezomib"
"380","Cytoplasm_Intensity_MassDisplacement_RNA","bortezomib"
"381","Cytoplasm_Intensity_MaxIntensity_Mito","bortezomib"
"382","Cytoplasm_Intensity_MeanIntensityEdge_AGP","bortezomib"
"383","Cytoplasm_Intensity_MeanIntensityEdge_ER","bortezomib"
"384","Cytoplasm_Intensity_MedianIntensity_AGP","bortezomib"
"385","Cytoplasm_Intensity_MedianIntensity_Mito","bortezomib"
"386","Cytoplasm_Intensity_MinIntensityEdge_Mito","bortezomib"
"387","Cytoplasm_Intensity_MinIntensity_AGP","bortezomib"
"388","Cytoplasm_Intensity_MinIntensity_ER","bortezomib"
"389","Cytoplasm_Intensity_MinIntensity_RNA","bortezomib"
"390","Cytoplasm_Intensity_UpperQuartileIntensity_DNA","bortezomib"
"391","Cytoplasm_Location_MaxIntensity_X_Mito","bortezomib"
"392","Cytoplasm_Location_MaxIntensity_Y_DNA","bortezomib"
"393","Cytoplasm_RadialDistribution_FracAtD_AGP_1of4","bortezomib"
"394","Cytoplasm_RadialDistribution_FracAtD_AGP_4of4","bortezomib"
"395","Cytoplasm_RadialDistribution_FracAtD_DNA_1of4","bortezomib"
"396","Cytoplasm_RadialDistribution_FracAtD_DNA_4of4","bortezomib"
"397","Cytoplasm_RadialDistribution_FracAtD_Mito_1of4","bortezomib"
"398","Cytoplasm_RadialDistribution_FracAtD_Mito_3of4","bortezomib"
"399","Cytoplasm_RadialDistribution_FracAtD_Mito_4of4","bortezomib"
"400","Cytoplasm_RadialDistribution_FracAtD_RNA_1of4","bortezomib"
"401","Cytoplasm_RadialDistribution_MeanFrac_AGP_1of4","bortezomib"
"402","Cytoplasm_RadialDistribution_MeanFrac_AGP_3of4","bortezomib"
"403","Cytoplasm_RadialDistribution_MeanFrac_AGP_4of4","bortezomib"
"404","Cytoplasm_RadialDistribution_MeanFrac_DNA_2of4","bortezomib"
"405","Cytoplasm_RadialDistribution_MeanFrac_DNA_4of4","bortezomib"
"406","Cytoplasm_RadialDistribution_MeanFrac_ER_1of4","bortezomib"
"407","Cytoplasm_RadialDistribution_MeanFrac_ER_3of4","bortezomib"
"408","Cytoplasm_RadialDistribution_MeanFrac_ER_4of4","bortezomib"
"409","Cytoplasm_RadialDistribution_MeanFrac_Mito_1of4","bortezomib"
"410","Cytoplasm_RadialDistribution_MeanFrac_Mito_3of4","bortezomib"
"411","Cytoplasm_RadialDistribution_MeanFrac_Mito_4of4","bortezomib"
"412","Cytoplasm_RadialDistribution_MeanFrac_RNA_1of4","bortezomib"
"413","Cytoplasm_RadialDistribution_MeanFrac_RNA_4of4","bortezomib"
"414","Cytoplasm_RadialDistribution_RadialCV_AGP_1of4","bortezomib"
"415","Cytoplasm_RadialDistribution_RadialCV_DNA_1of4","bortezomib"
"416","Cytoplasm_RadialDistribution_RadialCV_DNA_4of4","bortezomib"
"417","Cytoplasm_RadialDistribution_RadialCV_ER_1of4","bortezomib"
"418","Cytoplasm_RadialDistribution_RadialCV_ER_4of4","bortezomib"
"419","Cytoplasm_RadialDistribution_RadialCV_Mito_1of4","bortezomib"
"420","Cytoplasm_RadialDistribution_RadialCV_Mito_4of4","bortezomib"
"421","Cytoplasm_RadialDistribution_RadialCV_RNA_1of4","bortezomib"
"422","Cytoplasm_RadialDistribution_RadialCV_RNA_4of4","bortezomib"
"423","Cytoplasm_Texture_AngularSecondMoment_AGP_20_01","bortezomib"
"424","Cytoplasm_Texture_AngularSecondMoment_DNA_5_00","bortezomib"
"425","Cytoplasm_Texture_AngularSecondMoment_ER_20_00","bortezomib"
