Metadata_model_split	metric	metric_value	dataset	shuffle	permutation
validation	accuracy	0.5666666666666667	ixazomib	True	18
test	avg_precision	0.505897435897436	ixazomib	True	18
training	avg_precision	0.6074779541446208	ixazomib	True	18
validation	avg_precision	0.5375	ixazomib	True	18
test	accuracy	0.5555555555555556	cloneAE	True	19
training	accuracy	0.7083333333333334	cloneAE	True	19
validation	accuracy	0.7333333333333333	cloneAE	True	19
test	avg_precision	0.6666666666666666	cloneAE	True	19
training	avg_precision	0.7463235294117647	cloneAE	True	19
validation	avg_precision	0.7733333333333334	cloneAE	True	19
test	accuracy	0.4576271186440678	cb5083	True	19
training	accuracy	0.48760330578512395	cb5083	True	19
validation	accuracy	0.38333333333333336	cb5083	True	19
test	avg_precision	0.36772291820191605	cb5083	True	19
training	avg_precision	0.5449040722132523	cb5083	True	19
validation	avg_precision	0.454040404040404	cb5083	True	19
test	accuracy	0.6153846153846154	ixazomib	True	19
training	accuracy	0.5061728395061729	ixazomib	True	19
validation	accuracy	0.5	ixazomib	True	19
test	avg_precision	0.4461538461538461	ixazomib	True	19
training	avg_precision	0.5583258054802771	ixazomib	True	19
validation	avg_precision	0.5	ixazomib	True	19
test	accuracy	0.6666666666666666	cloneAE	True	20
training	accuracy	0.5	cloneAE	True	20
validation	accuracy	0.4666666666666667	cloneAE	True	20
test	avg_precision	0.7063492063492063	cloneAE	True	20
training	avg_precision	0.6284722222222223	cloneAE	True	20
validation	avg_precision	0.6458333333333333	cloneAE	True	20
test	accuracy	0.5423728813559322	cb5083	True	20
training	accuracy	0.4380165289256198	cb5083	True	20
validation	accuracy	0.5	cb5083	True	20
test	avg_precision	0.41004316243815137	cb5083	True	20
training	avg_precision	0.5251918291267003	cb5083	True	20
validation	avg_precision	0.5	cb5083	True	20
test	accuracy	0.5641025641025641	ixazomib	True	20
training	accuracy	0.5061728395061729	ixazomib	True	20
validation	accuracy	0.5	ixazomib	True	20
test	avg_precision	0.4165242165242165	ixazomib	True	20
training	avg_precision	0.5597340930674264	ixazomib	True	20
validation	avg_precision	0.5	ixazomib	True	20
test	accuracy	0.3333333333333333	cloneAE	True	21
training	accuracy	0.5833333333333334	cloneAE	True	21
validation	accuracy	0.6666666666666666	cloneAE	True	21
test	avg_precision	0.5833333333333333	cloneAE	True	21
training	avg_precision	0.6666666666666666	cloneAE	True	21
validation	avg_precision	0.7444444444444445	cloneAE	True	21
test	accuracy	0.5423728813559322	cb5083	True	21
training	accuracy	0.48760330578512395	cb5083	True	21
validation	accuracy	0.6333333333333333	cb5083	True	21
test	avg_precision	0.4144190616556129	cb5083	True	21
training	avg_precision	0.5449040722132523	cb5083	True	21
validation	avg_precision	0.5844444444444444	cb5083	True	21
test	accuracy	0.358974358974359	ixazomib	True	21
training	accuracy	0.5679012345679012	ixazomib	True	21
validation	accuracy	0.55	ixazomib	True	21
test	avg_precision	0.33974358974358976	ixazomib	True	21
training	avg_precision	0.5922398589065256	ixazomib	True	21
validation	avg_precision	0.528	ixazomib	True	21
test	accuracy	0.4444444444444444	cloneAE	True	22
training	accuracy	0.5416666666666666	cloneAE	True	22
validation	accuracy	0.6666666666666666	cloneAE	True	22
test	avg_precision	0.6031746031746031	cloneAE	True	22
training	avg_precision	0.6666666666666666	cloneAE	True	22
validation	avg_precision	0.7151515151515152	cloneAE	True	22
test	accuracy	0.5254237288135594	cb5083	True	22
training	accuracy	0.512396694214876	cb5083	True	22
validation	accuracy	0.5	cb5083	True	22
test	avg_precision	0.40651817339006824	cb5083	True	22
training	avg_precision	0.5557119949250207	cb5083	True	22
validation	avg_precision	0.5	cb5083	True	22
test	accuracy	0.4358974358974359	ixazomib	True	22
training	accuracy	0.49382716049382713	ixazomib	True	22
validation	accuracy	0.43333333333333335	ixazomib	True	22
test	avg_precision	0.36068376068376073	ixazomib	True	22
training	avg_precision	0.5541910331384016	ixazomib	True	22
validation	avg_precision	0.4714285714285714	ixazomib	True	22
test	accuracy	0.6666666666666666	cloneAE	True	23
training	accuracy	0.4583333333333333	cloneAE	True	23
validation	accuracy	0.5333333333333333	cloneAE	True	23
test	avg_precision	0.6666666666666666	cloneAE	True	23
training	avg_precision	0.641025641025641	cloneAE	True	23
validation	avg_precision	0.6454545454545455	cloneAE	True	23
test	accuracy	0.559322033898305	cb5083	True	23
training	accuracy	0.4462809917355372	cb5083	True	23
validation	accuracy	0.5	cb5083	True	23
test	avg_precision	0.4138246131171702	cb5083	True	23
training	avg_precision	0.5280621684963611	cb5083	True	23
validation	avg_precision	0.5	cb5083	True	23
test	accuracy	0.48717948717948717	ixazomib	True	23
training	accuracy	0.4074074074074074	ixazomib	True	23
validation	accuracy	0.38333333333333336	ixazomib	True	23
test	avg_precision	0.388628762541806	ixazomib	True	23
training	avg_precision	0.5205643738977073	ixazomib	True	23
validation	avg_precision	0.4557471264367816	ixazomib	True	23
test	accuracy	0.5555555555555556	cloneAE	True	24
training	accuracy	0.5833333333333334	cloneAE	True	24
validation	accuracy	0.5333333333333333	cloneAE	True	24
test	avg_precision	0.6319444444444444	cloneAE	True	24
training	avg_precision	0.6666666666666666	cloneAE	True	24
validation	avg_precision	0.6904761904761905	cloneAE	True	24
test	accuracy	0.423728813559322	cb5083	True	24
training	accuracy	0.512396694214876	cb5083	True	24
validation	accuracy	0.5333333333333333	cb5083	True	24
test	avg_precision	0.3587274159530405	cb5083	True	24
training	avg_precision	0.5566141098106938	cb5083	True	24
validation	avg_precision	0.5177777777777778	cb5083	True	24
test	accuracy	0.46153846153846156	ixazomib	True	24
training	accuracy	0.4691358024691358	ixazomib	True	24
validation	accuracy	0.4166666666666667	ixazomib	True	24
test	avg_precision	0.3684615384615385	ixazomib	True	24
training	avg_precision	0.5450980392156863	ixazomib	True	24
validation	avg_precision	0.46464646464646464	ixazomib	True	24
